e,reward,score,move
1.0,-102.0,0.0,29.0
2.0,-107.0,0.0,54.0
3.0,-98.0,0.0,5.0
4.0,-90.0,0.0,23.0
5.0,-102.0,0.0,3.0
6.0,-108.0,0.0,11.0
7.0,-100.0,0.0,25.0
8.0,-102.0,0.0,9.0
9.0,-98.0,0.0,9.0
10.0,-59.0,2.0,78.0
11.0,-94.0,0.0,9.0
12.0,-107.0,0.0,28.0
13.0,-99.0,0.0,12.0
14.0,-102.0,0.0,7.0
15.0,-98.0,0.0,3.0
16.0,-105.0,0.0,8.0
17.0,-100.0,0.0,1.0
18.0,-110.0,0.0,21.0
19.0,-94.0,0.0,31.0
20.0,-97.0,0.0,6.0
21.0,-102.0,0.0,3.0
22.0,-104.0,0.0,21.0
23.0,-100.0,0.0,3.0
24.0,-92.0,0.0,29.0
25.0,-107.0,0.0,28.0
26.0,-100.0,0.0,1.0
27.0,-108.0,0.0,13.0
28.0,-107.0,0.0,56.0
29.0,-110.0,0.0,19.0
30.0,-69.0,1.0,49.0
31.0,-106.0,0.0,7.0
32.0,-72.0,1.0,48.0
33.0,-94.0,0.0,15.0
34.0,-93.0,0.0,40.0
35.0,-91.0,0.0,14.0
36.0,-63.0,2.0,56.0
37.0,-60.0,2.0,27.0
38.0,-88.0,0.0,13.0
39.0,-41.0,3.0,41.0
40.0,-86.0,0.0,21.0
41.0,89.0,7.0,205.0
42.0,9.0,5.0,197.0
43.0,242.0,13.0,242.0
