e,reward,score,move
1.0,-84.0,1.0,18.0
2.0,-99.0,0.0,14.0
3.0,-102.0,0.0,9.0
4.0,-98.0,0.0,7.0
5.0,-100.0,0.0,5.0
6.0,-100.0,0.0,1.0
7.0,-100.0,0.0,1.0
8.0,-104.0,0.0,13.0
9.0,-99.0,0.0,8.0
10.0,-99.0,0.0,2.0
11.0,-104.0,0.0,5.0
12.0,-101.0,0.0,20.0
13.0,-100.0,0.0,19.0
14.0,-105.0,0.0,16.0
